trip_id	start_time	end_time	start_pos_lng	start_pos_lat	end_pos_lng	end_pos_lat
126485	1626281421	1626283101	13.292486	52.517948	13.36133	52.503431
126807	1626295400	1626297620	13.330711	52.453125	13.345597	52.530051
126967	1626242841	1626243440	13.519987	52.51364	13.524628	52.50804
126968	1626266900	1626267260	13.525511	52.508601	13.519987	52.51364
127348	1626260720	1626261262	13.440874	52.473502	13.440042	52.479705
127821	1626283340	1626283948	13.439063	52.489599	13.460422	52.492782
128302	1626284902	1626285501	13.348238	52.542717	13.333955	52.530496
128303	1626297740	1626300800	13.333955	52.530496	13.420875	52.491846
129528	1626275600	1626276441	13.327732	52.520781	13.351037	52.520841
130919	1626250580	1626252261	13.417806	52.492164	13.353548	52.493689
130920	1626254071	1626255321	13.353513	52.493667	13.399009	52.496215
130921	1626270982	1626272241	13.399009	52.496215	13.431734	52.501422
130922	1626276441	1626277460	13.431628	52.501498	13.404831	52.495353
130923	1626278365	1626279984	13.404831	52.495353	13.427339	52.545094
132468	1626295282	1626298162	13.330711	52.453125	13.346522	52.523942
132977	1626256761	1626258801	13.430847	52.467995	13.376718	52.487904
132978	1626296241	1626297680	13.376718	52.487904	13.333739	52.521612
133892	1626275901	1626277220	13.290363	52.517707	13.287272	52.492391
133893	1626283101	1626284421	13.28707	52.492293	13.290363	52.517707
134141	1626241460	1626242541	13.35241	52.546265	13.331396	52.516422
134142	1626273563	1626274460	13.33143	52.51612	13.322762	52.491342
134547	1626279681	1626280280	13.359896	52.559813	13.36168	52.567751
136196	1626248061	1626248600	13.346418	52.503733	13.335328	52.504157
136197	1626250820	1626251180	13.335328	52.504157	13.332628	52.50668
136198	1626264440	1626265462	13.332351	52.506871	13.354429	52.494653
136199	1626268461	1626269063	13.354429	52.494613	13.361176	52.502613
136200	1626276860	1626278180	13.361021	52.502867	13.426986	52.518791
136541	1626290482	1626292100	13.364353	52.519276	13.322463	52.508951
136877	1626254241	1626255200	13.416662	52.522907	13.377837	52.50912
137154	1626285441	1626286401	13.427401	52.487449	13.44921	52.473791
137155	1626289822	1626290600	13.449214	52.474013	13.425947	52.491812
137804	1626259462	1626260420	13.438479	52.500596	13.449485	52.516491
137805	1626269181	1626269842	13.449485	52.516491	13.449569	52.507848
137806	1626292401	1626295640	13.449569	52.507848	13.431181	52.467822
137950	1626276800	1626277760	13.421056	52.552697	13.387557	52.549502
137951	1626278180	1626279200	13.387458	52.549127	13.38797	52.531905
137952	1626294803	1626296722	13.38797	52.531905	13.437138	52.497933
137953	1626300560	1626301341	13.43743	52.49776	13.447312	52.480191
139351	1626250161	1626250941	13.396464	52.495418	13.435881	52.499884
139352	1626278545	1626279501	13.435858	52.499822	13.395788	52.496671
139587	1626248420	1626249260	13.453413	52.515632	13.446338	52.494173
139588	1626262046	1626263241	13.446178	52.49424	13.454016	52.517098
139589	1626266120	1626266781	13.454328	52.5164	13.444349	52.529573
139590	1626269300	1626270982	13.443929	52.529404	13.422491	52.509667
140099	1626283281	1626284841	13.3414	52.534196	13.315934	52.507582
140605	1626263120	1626264440	13.372116	52.498373	13.410688	52.521262
142811	1626271700	1626272540	13.378064	52.472533	13.394571	52.488976
143056	1626243380	1626244281	13.30296	52.505249	13.297349	52.53076
143057	1626281600	1626282560	13.297337	52.530618	13.30296	52.505249
143344	1626283460	1626285020	13.364074	52.482378	13.42809	52.49328
143345	1626287005	1626287841	13.42809	52.49328	13.439541	52.483484
143346	1626291381	1626293483	13.439539	52.483342	13.36785	52.504982
144425	1626241641	1626242420	13.322849	52.497753	13.322788	52.513434
144426	1626275840	1626276260	13.322788	52.513434	13.336685	52.513728
144427	1626279681	1626281242	13.336685	52.513728	13.29038	52.518124
144860	1626285020	1626286520	13.385822	52.507076	13.346193	52.500684
