trip_id	start_time	end_time	start_pos_lng	start_pos_lat	end_pos_lng	end_pos_lat
657624	1619851100	1619851940	13.355705	52.507229	13.368603	52.524259
657625	1619860041	1619860702	13.368542	52.523756	13.339218	52.530042
663969	1619874800	1619875821	13.411367	52.526065	13.438543	52.528921
658282	1619875041	1619875941	13.446953	52.526464	13.444551	52.50112
662927	1619883080	1619883623	13.466606	52.505298	13.46542	52.514631
663132	1619883980	1619884761	13.450937	52.510622	13.428038	52.496387
660246	1619886080	1619887041	13.345597	52.530051	13.356195	52.543012
660434	1619870962	1619871561	13.446227	52.512858	13.433468	52.509822
660435	1619874261	1619874981	13.433468	52.509822	13.419367	52.501658
665370	1619884521	1619886320	13.422333	52.513833	13.422333	52.487122
665371	1619886442	1619887161	13.422333	52.487122	13.387109	52.490114
665372	1619887341	1619889024	13.387109	52.490114	13.437588	52.493449
675093	1619872340	1619873720	13.398167	52.507236	13.389047	52.54413
672520	1619900481	1619903301	13.435613	52.491764	13.348238	52.542717
672791	1619901681	1619902951	13.440886	52.480698	13.410346	52.49516
676475	1619862381	1619863341	13.356195	52.543012	13.387458	52.549127
676476	1619878100	1619879001	13.387458	52.549127	13.356195	52.543012
673976	1619880741	1619882301	13.466197	52.500618	13.426224	52.486604
664262	1619892561	1619894481	13.439947	52.482089	13.49787	52.509627
675411	1619861127	1619862260	13.376053	52.508075	13.40177	52.49348
680176	1619870425	1619871201	13.416433	52.498923	13.385533	52.471144
677324	1619893942	1619894960	13.329862	52.524293	13.300417	52.506738
679391	1619859621	1619862862	13.368603	52.524259	13.295333	52.523911
677801	1619885360	1619887762	13.48485	52.502813	13.427936	52.487356
680178	1619884880	1619885840	13.418464	52.476736	13.399442	52.493674
680179	1619905761	1619906906	13.399442	52.493674	13.425201	52.473701
680355	1619890221	1619892629	13.417222	52.480369	13.463338	52.50984
681050	1619856320	1619856921	13.388128	52.529446	13.41236	52.532852
681051	1619861241	1619862441	13.41236	52.532852	13.360836	52.529556
685405	1619879001	1619883380	13.29647	52.514111	13.441882	52.485751
681692	1619872581	1619874500	13.401084	52.522325	13.44111	52.500167
678593	1619873601	1619874082	13.438551	52.495018	13.422548	52.50044
684213	1619889801	1619891061	13.462696	52.532156	13.43545	52.530676
690469	1619873961	1619874680	13.433832	52.484653	13.425029	52.497049
684454	1619868021	1619869401	13.344178	52.496164	13.290409	52.502889
684844	1619895080	1619895500	13.387458	52.549127	13.369425	52.544119
690917	1619887642	1619888121	13.299116	52.515151	13.30372	52.518591
691049	1619887941	1619890041	13.391857	52.504409	13.35241	52.546265
686445	1619882780	1619883921	13.450678	52.508651	13.419312	52.487545
686446	1619887642	1619888182	13.419312	52.487545	13.42304	52.500252
686615	1619872961	1619874381	13.438551	52.495018	13.394571	52.488976
686783	1619866466	1619868380	13.364887	52.477476	13.419697	52.496227
691832	1619937080	1619938701	13.416292	52.499636	13.474839	52.504884
682824	1619866280	1619867061	13.453551	52.514138	13.453458	52.503663
687459	1619868926	1619871561	13.329044	52.504747	13.426169	52.531991
687460	1619876721	1619877081	13.426064	52.531933	13.428194	52.526293
692806	1619880081	1619881881	13.464069	52.492676	13.470101	52.512956
683888	1619906421	1619907440	13.322675	52.48671	13.317568	52.512023
688472	1619881881	1619882541	13.399442	52.493674	13.422333	52.487122
695361	1619887101	1619889141	13.416694	52.528409	13.424714	52.488161
694006	1619870181	1619871261	13.430711	52.48072	13.412476	52.503347
694007	1619871681	1619872881	13.41252	52.503369	13.387148	52.525591
694100	1619868681	1619869702	13.465645	52.51804	13.460264	52.494369
694101	1619889622	1619890221	13.460449	52.494436	13.443884	52.500227
694102	1619895382	1619895981	13.443933	52.500293	13.430342	52.48928
692167	1619881461	1619882122	13.46766	52.502613	13.490601	52.502076
705951	1619853681	1619855061	13.387436	52.524065	13.407977	52.489601
697553	1619854162	1619855180	13.317304	52.528861	13.339218	52.530042
698195	1619875580	1619878161	13.346522	52.523942	13.437588	52.493449
701823	1619890580	1619893170	13.446953	52.526464	13.380079	52.497192
702043	1619857101	1619858001	13.388128	52.529446	13.402946	52.515769
698510	1619898800	1619899531	13.4117	52.54289	13.387458	52.549127
698998	1619875401	1619879121	13.335328	52.504157	13.414945	52.52054
694459	1619920107	1619920522	13.424663	52.494437	13.431263	52.487263
694668	1619845341	1619847088	13.295705	52.49607	13.29502	52.536442
694669	1619853201	1619854882	13.29502	52.536442	13.339055	52.526137
694670	1619874800	1619876721	13.339055	52.526137	13.380762	52.513609
694876	1619869041	1619871981	13.432285	52.536231	13.418464	52.476736
694877	1619873482	1619874680	13.418464	52.476736	13.419697	52.496227
694878	1619900242	1619901021	13.419697	52.496227	13.435362	52.481709
699930	1619903541	1619906120	13.424932	52.497609	13.390031	52.555076
700260	1619873961	1619875462	13.416547	52.523911	13.460154	52.511133
700261	1619884340	1619885422	13.460171	52.511116	13.433071	52.5235
703753	1619865922	1619867481	13.322675	52.48671	13.305294	52.511373
705952	1619859082	1619860401	13.407977	52.489601	13.378543	52.478604
712343	1619902161	1619904386	13.346578	52.492803	13.431133	52.520738
704559	1619863522	1619864361	13.421232	52.475667	13.42872	52.486772
710277	1619881221	1619882901	13.414987	52.539591	13.417234	52.510764
710279	1619894960	1619896761	13.411032	52.513378	13.361014	52.522991
710593	1619880380	1619882361	13.419022	52.534596	13.44111	52.500167
702218	1619894362	1619894783	13.292825	52.503121	13.283803	52.506008
702416	1619883800	1619884946	13.459153	52.501032	13.421964	52.495884
708252	1619882361	1619883201	13.373368	52.54384	13.402688	52.53864
708518	1619891660	1619893581	13.437803	52.467356	13.450757	52.512773
708969	1619912850	1619913804	13.402946	52.515769	13.388128	52.529446
709057	1619883980	1619885960	13.472426	52.515727	13.42688	52.488511
712462	1619864361	1619865561	13.471373	52.510801	13.42893	52.50698
712550	1619880381	1619881283	13.459041	52.511149	13.464575	52.523243
712551	1619897181	1619900601	13.464575	52.523243	13.413018	52.488588
712714	1619866401	1619868441	13.364821	52.477693	13.419697	52.496227
712715	1619873781	1619876006	13.419697	52.496227	13.368603	52.524259
712716	1619877441	1619878582	13.368603	52.524259	13.375507	52.542448
713009	1619884641	1619885601	13.452127	52.531373	13.433901	52.529769
713010	1619893281	1619895141	13.4337	52.529791	13.390216	52.50188
703280	1619867242	1619867732	13.364376	52.552289	13.369425	52.544119
707676	1619873662	1619875341	13.420396	52.477049	13.452095	52.501495
707952	1619864001	1619864960	13.395145	52.503448	13.394571	52.488976
707953	1619878284	1619879480	13.408716	52.48222	13.395145	52.503448
713646	1619872041	1619873180	13.428618	52.472737	13.431596	52.493573
714777	1619879001	1619879601	13.322675	52.48671	13.344001	52.48543
711066	1619855241	1619856320	13.424856	52.527829	13.425198	52.502038
711067	1619861782	1619862201	13.425198	52.502038	13.42637	52.494622
716046	1619881221	1619883623	13.383431	52.494018	13.306297	52.522738
716823	1619872881	1619873961	13.375287	52.476027	13.418464	52.476736
716824	1619877502	1619878762	13.418464	52.476736	13.413139	52.495476
716825	1619887041	1619888481	13.413139	52.495467	13.425382	52.470329
713330	1619857401	1619858061	13.443137	52.488138	13.460206	52.493204
